"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          70,      -4.122822445,      -1.070219653,      -2.190512267,       1.366871126,      -6.870898119,          1021.356,     0.00650430233,   -0.003977104037,                 0,                 0,                 0,   -0.009839558159,     0.00650430233,   -0.003977104037,                 0,     -0.6114574378,   0.0001500018564
          0,           0,          71,      -4.129583718,      -1.070053181,      -2.195304805,        1.36045249,      -6.868225019,          1021.356,    0.006482752283,   -0.002488363077,                 0,                 0,                 0,    -0.01023733336,    0.006482752283,   -0.002488363077,                 0,     -0.3838436159,   0.0001500018564
          0,           0,          72,      -4.139138389,      -1.069580775,      -2.199731473,       1.351285556,      -6.865518347,          1021.356,    0.006461432271,   -0.001082192458,                 0,                 0,                 0,    -0.01061656272,    0.006461432271,   -0.001082192458,                 0,     -0.1674849186,   0.0001500018564
          0,           0,          73,      -4.151624783,      -1.068898929,      -2.203847696,       1.339210361,      -6.862772278,          1021.356,    0.006440311852,   0.0002525989533,                 0,                 0,                 0,    -0.01097913862,    0.006440311852,   0.0002525989533,                 0,     0.03922154068,   0.0001500018564
          0,           0,          74,      -4.167111641,      -1.068111378,      -2.207715322,        1.32412607,      -6.859983707,          1021.356,    0.006419366908,    0.001528274505,                 0,                 0,                 0,    -0.01132743564,    0.006419366908,    0.001528274505,                 0,      0.2380724652,   0.0001500018564
          0,           0,          75,      -4.185582891,       -1.06732331,      -2.211399211,       1.306001233,      -6.857156584,          1021.356,    0.006398576458,    0.002757128538,                 0,                 0,                 0,     -0.0116640205,    0.006398576458,    0.002757128538,                 0,      0.4308971779,   0.0001500018564
          0,           0,          76,      -4.206911397,      -1.066636069,      -2.214963672,       1.284892874,      -6.854303201,          1021.356,    0.006377919813,    0.003950633853,                 0,                 0,                 0,    -0.01199140482,    0.006377919813,    0.003950633853,                 0,      0.6194235689,   0.0001500018564
          0,           0,          77,      -4.230818645,      -1.066142688,       -2.21846825,       1.260977504,      -6.851437462,          1021.356,    0.006357373903,    0.005118806763,                 0,                 0,                 0,     -0.0123118534,    0.006357373903,    0.005118806763,                 0,      0.8051762946,   0.0001500018564
          0,           0,          78,      -4.256818093,       -1.06592451,      -2.221962537,       1.234597505,      -6.848549506,          1021.356,    0.006336910634,    0.006269809613,                 0,                 0,                 0,    -0.01262725625,    0.006336910634,    0.006269809613,                 0,       0.989411083,   0.0001500018564
          0,           0,          79,       -4.28414399,      -1.066049002,      -2.225479852,       1.206325033,      -6.845613682,          1021.356,    0.006316494027,    0.007409799262,                 0,                 0,                 0,    -0.01293906749,    0.006316494027,    0.007409799262,                 0,       1.173087353,   0.0001500018564
          0,           0,          80,      -4.311678245,      -1.066568824,      -2.229029715,       1.177040206,      -6.842619071,          1021.356,    0.006296076997,     0.00854300538,                 0,                 0,                 0,    -0.01324830647,    0.006296076997,     0.00854300538,                 0,       1.356877526,   0.0001500018564
          0,           0,          81,      -4.337908762,      -1.067522171,      -2.232589432,       1.148006753,      -6.839549954,          1021.356,    0.006275597901,    0.009671969718,                 0,                 0,                 0,     -0.0135556019,    0.006275597901,    0.009671969718,                 0,       1.541202905,   0.0001500018564
          0,           0,          82,      -4.360981047,       -1.06893426,      -2.236096832,        1.12090249,      -6.836349703,          1021.356,    0.006254977958,     0.01079777471,                 0,                 0,                 0,    -0.01386123142,    0.006254977958,     0.01079777471,                 0,       1.726269026,   0.0001500018564
          0,           0,          83,      -4.378918976,      -1.070819652,      -2.239450775,       1.097728741,      -6.833015509,          1021.356,    0.006234122217,      0.0119199534,                 0,                 0,                 0,    -0.01416507354,    0.006234122217,      0.0119199534,                 0,       1.912050002,   0.0001500018564
          0,           0,          84,      -4.390043709,       -1.07318448,      -2.242532892,       1.080513573,      -6.829612679,          1021.356,     0.00621292803,     0.01303573883,                 0,                 0,                 0,    -0.01446638084,     0.00621292803,     0.01303573883,                 0,       2.098163501,   0.0001500018564
          0,           0,          85,      -4.393481911,      -1.076026956,      -2.245265688,        1.07080068,       -6.82617817,          1021.356,    0.006191302458,     0.01413867582,                 0,                 0,                 0,    -0.01476338578,    0.006191302458,     0.01413867582,                 0,       2.283635134,   0.0001500018564
          0,           0,          86,      -4.389502219,      -1.079334576,      -2.247695812,       1.069107558,      -6.822722788,          1021.356,    0.006169181949,     0.01521746242,                 0,                 0,                 0,    -0.01505298134,    0.006169181949,     0.01521746242,                 0,       2.466690486,   0.0001500018564
          0,           0,          87,      -4.379438157,       -1.08307876,      -2.250032835,       1.074696236,      -6.819261672,          1021.356,    0.006146541371,     0.01625638248,                 0,                 0,                 0,    -0.01533084733,    0.006146541371,     0.01625638248,                 0,       2.644801604,   0.0001500018564
          0,           0,          88,      -4.365221505,      -1.087211046,      -2.252565937,       1.085856888,      -6.815815742,          1021.356,    0.006123386948,     0.01723772351,                 0,                 0,                 0,     -0.0155921159,    0.006123386948,     0.01723772351,                 0,       2.815063568,   0.0001500018564
          0,           0,          89,      -4.348826882,      -1.091664649,      -2.255506225,       1.100504158,      -6.812405858,          1021.356,    0.006099741901,     0.01814489253,                 0,                 0,                 0,    -0.01583220663,    0.006099741901,     0.01814489253,                 0,        2.97469841,   0.0001500018564
